distance,vegan,raupcrick
40.355621,0.0001,-1
124.509289,0.027,-0.99
417.155701,0.0001,-1
404.689083,0.0056,-1
440.862056,0.0001,-1
411.987109,0.0001,-1
51.850535,0.0001,-1
79.466893,0.0001,-1
267.576457,0.0001,-1
409.195684,0.0334,-0.98
361.32533,0.0604,-0.98
74.753166,0.0001,-1
45.53596,0.9078,0.66
406.70884,0.0002,-1
78.879712,0.0001,-1
36.374067,0.0001,-1
410.821639,0.0001,-1
264.414541,0.0049,-1
451.042228,0.0829,-0.91
48.916786,0.7222,-0.34
510.580957,0.0364,-0.97
420.055207,0.0001,-1
358.870944,0.0004,-1
399.439609,0.0001,-1
321.553931,0.0001,-1
39.545112,0.0001,-1
297.371549,0.0102,-0.99
22.159837,0.0001,-1
74.626383,0.0001,-1
479.44036,0.0007,-1
36.69632,0.0001,-1
143.86478,0.2483,-0.76
397.418061,0.0001,-1
393.99454,0.291,-0.69
420.470959,0.0001,-1
395.123128,0.0001,-1
71.330901,0.0001,-1
106.789084,0.0001,-1
245.551859,0.0001,-1
390.66446,0.0241,-0.99
342.677104,0.4897,-0.56
98.671388,0.0001,-1
25.912939,0.6746,0.09
387.69015,0.0001,-1
58.56486,0.0001,-1
37.248578,0.0001,-1
390.715074,0.0001,-1
241.636531,0.1878,-0.88
433.047771,0.0133,-0.99
34.154939,0.4888,-1
543.122707,0.0113,-0.99
400.261641,0.0001,-1
359.09506,0.0001,-1
379.685073,0.0001,-1
302.306554,0.0001,-1
4.186432,0.0001,-1
331.44889,0.0001,-1
19.814427,0.0001,-1
86.504615,0.0001,-1
466.234252,0.0595,-0.98
0.594211,0.0001,-1
543.17626,0.2877,-0.72
288.331379,0.0528,-0.96
566.505176,0.3254,-0.65
539.419512,0.336,-0.65
66.277085,0.5179,-0.34
37.34187,0.0765,-0.94
391.863964,0.219,-0.8
535.859339,0.3438,-0.6
487.859568,0.5929,-0.2
44.926025,0.133,-0.91
117.864247,0.9997,1
533.11429,0.2448,-0.76
107.174796,0.3334,-0.65
163.969609,0.1127,-0.91
536.608652,0.0627,-0.95
388.145317,0.1106,-0.91
578.018693,0.9549,0.77
22.36601,0.787,0.04
202.71642,0.0641,-0.96
546.040299,0.2887,-0.72
485.368185,0.8143,0.33
525.427276,0.1091,-0.92
447.701979,0.1934,-0.86
135.405859,0.4028,-0.51
56.810161,0.0468,-0.98
143.74437,0.1879,-0.86
54.453823,0.0564,-0.96
608.023532,0.2206,-0.78
138.009673,0.3277,-0.65
733.531818,0.5341,-0.28
21.882967,0.0001,-1
27.892959,0.0001,-1
469.954334,0.0001,-1
500.907197,0.0001,-1
150.278631,0.0001,-1
5.470027,0.0298,-0.99
21.123376,0.0499,-1
495.12444,0.0001,-1
425.273878,0.3759,-0.49
9.72507,0.0001,-1
449.04918,0.0001,-1
362.957445,0.0001,-1
3.621747,0.0001,-1
135.844441,0.0093,-1
37.358205,0.0015,-1
425.417204,0.5031,-1
922.755734,0.0194,-0.99
0.442991,0.0001,-1
168.404869,0.0001,-1
15.087429,0.0001,-1
85.602596,0.0001,-1
400.904416,0.0001,-1
710.554825,0.0001,-1
395.342727,0.0001,-1
486.597126,0.0001,-1
94.082651,0.0684,-0.98
400.623579,0.0001,-1
749.593829,0.3882,-0.53
745.419591,0.5926,-0.17
350.257903,0.3202,-0.62
346.493177,0.0023,-1
601.518679,0.4235,-0.47
733.899617,0.1549,-0.86
693.076358,0.3317,-0.66
345.89161,0.1823,-0.83
366.220424,0.9896,0.93
728.090383,0.3361,-0.59
332.827717,0.2173,-0.79
431.941157,0.0975,-0.92
725.824789,0.2044,-0.79
578.917594,0.1408,-0.88
772.893426,0.6477,-0.07
305.044097,0.6654,-0.29
478.561581,0.8665,0.54
735.515101,0.5218,-0.28
754.060121,0.2938,-0.69
718.079816,0.2195,-0.76
653.507052,0.4517,-0.43
385.846994,0.0314,-0.98
386.554722,0.715,0.12
409.470963,0.2641,-0.73
329.763009,0.5775,-0.18
824.684365,0.0014,-1
390.862922,0.2165,-0.79
43.844489,0.0001,-1
493.374133,0.0001,-1
524.540359,0.0001,-1
173.104558,0.0001,-1
21.496824,0.1345,-0.92
45.237874,0.0645,-1
518.635705,0.0001,-1
448.213598,0.6025,-0.05
32.695725,0.0001,-1
471.442805,0.0001,-1
386.835345,0.0001,-1
26.21699,0.0001,-1
158.321687,0.0785,-0.97
23.687317,0.0013,-1
447.887922,0.5159,-1
947.144427,0.03,-0.97
19.963212,0.0001,-1
183.915357,0.0001,-1
38.853324,0.0001,-1
108.666402,0.0001,-1
423.817911,0.0003,-1
734.818743,0.0001,-1
418.903909,0.0001,-1
509.747229,0.0001,-1
84.387652,0.0801,-0.97
423.739394,0.0001,-1
465.937335,0.0001,-1
495.889428,0.0001,-1
150.993017,0.0001,-1
4.914423,0.0052,-1
24.935733,0.0647,-1
490.665478,0.0001,-1
423.311367,0.3454,-0.54
19.134686,0.0001,-1
448.845011,0.0001,-1
357.070613,0.0001,-1
29.423369,0.0001,-1
138.062148,0.0144,-1
39.219049,0.0012,-1
425.040386,0.5242,-1
912.013981,0.0092,-0.99
29.149013,0.0001,-1
140.189523,0.0001,-1
29.684837,0.0001,-1
87.858613,0.0001,-1
399.113197,0.0001,-1
701.383428,0.0001,-1
390.919098,0.0001,-1
483.683412,0.0001,-1
77.930938,0.0801,-0.97
398.076704,0.0001,-1
29.376128,0.0006,-1
318.968078,0.0001,-1
462.502835,0.3328,-0.65
414.515726,0.1621,-0.93
20.3299,0.0001,-1
48.037044,0.7605,0.29
459.80602,0.0001,-1
53.01275,0.0001,-1
90.497377,0.0001,-1
463.434263,0.0001,-1
315.388943,0.2916,-0.74
504.613862,0.0338,-0.97
3.331365,0.4406,-1
465.447746,0.071,-0.94
472.823853,0.0001,-1
414.825943,0.0001,-1
452.204457,0.0001,-1
374.420693,0.0001,-1
63.124979,0.0001,-1
255.158091,0.0001,-1
70.251157,0.0001,-1
17.015356,0.0001,-1
534.540234,0.0314,-0.99
65.539672,0.0001,-1
350.753111,0.0001,-1
493.04826,0.1303,-0.89
445.151256,0.0162,-1
2.23552,0.0001,-1
86.602366,0.8983,0.6
490.524373,0.0001,-1
88.802273,0.0001,-1
120.069932,0.0002,-1
494.522327,0.0001,-1
347.389209,0.0004,-1
534.930336,0.1508,-0.85
29.204124,0.2265,-1
421.013662,0.0885,-0.92
503.799195,0.0001,-1
437.363606,0.0031,-1
483.178579,0.0001,-1
405.29944,0.0001,-1
99.569617,0.0002,-1
210.518386,0.1151,-0.89
101.570354,0.0001,-1
32.967405,0.0002,-1
563.015439,0.0004,-1
101.331841,0.0001,-1
144.454345,0.0023,-1
97.050846,0.042,-1
344.453626,0.0001,-1
273.25663,0.7055,0.16
141.049668,0.0001,-1
296.93083,0.0001,-1
214.883368,0.0001,-1
143.453874,0.0001,-1
1.247398,0.0075,-1
186.980224,0.0175,-0.98
273.265597,0.465,-1
779.380047,0.0225,-0.98
153.084517,0.0001,-1
189.573567,0.0001,-1
132.604244,0.0001,-1
56.703593,0.0001,-1
248.86071,0.0001,-1
565.621974,0.0003,-1
245.042303,0.0001,-1
334.884414,0.0001,-1
227.295989,0.0494,-0.98
248.866441,0.0001,-1
14.389091,0.0311,-0.98
487.493227,0.029,-0.99
418.684103,0.994,0.94
1.919231,0.0141,-1
443.262291,0.0037,-1
354.671738,0.2954,-0.68
9.265263,0.197,-0.82
130.678058,0.4476,-0.44
14.718502,0.6575,-0.18
419.538906,0.3997,-0.71
912.774728,0.8636,0.49
5.708453,0.031,-0.99
143.728373,0.0263,-0.99
14.167864,0.0375,-0.98
80.024322,0.0056,-1
394.375826,0.1665,-0.84
701.124105,0.5007,-0.41
387.675453,0.0058,-1
479.620639,0.0675,-0.96
64.805122,0.1468,-0.87
393.761354,0.0044,-1
439.537757,0.5176,-0.49
370.719454,0.9994,0.99
11.687563,0.0124,-1
395.537542,0.2664,-0.85
306.930864,0.7033,-0.05
15.331989,0.0529,-0.98
83.917337,0.0311,-0.98
56.917245,0.9306,0.61
371.782496,0.3599,-0.72
866.599536,0.9963,0.96
24.042367,0.0554,-1
144.210557,0.4748,-0.56
3.541526,0.0244,-1
33.846507,0.0749,-1
346.425508,0.3531,-0.67
654.279864,0.9758,0.83
339.72167,0.2869,-0.85
431.611656,0.2607,-0.81
103.915751,0.2017,-0.82
345.761942,0.263,-0.85
77.391446,0.6404,0.03
484.872167,0.0001,-1
79.64462,0.0001,-1
114.749234,0.0001,-1
488.659402,0.0001,-1
340.956965,0.0651,-0.98
529.508847,0.0024,-1
20.345014,0.497,-1
438.260775,0.0011,-1
498.002641,0.0001,-1
435.558376,0.0001,-1
477.379816,0.0001,-1
399.54121,0.0001,-1
91.054131,0.0001,-1
227.954248,0.0001,-1
95.295497,0.0001,-1
24.768748,0.0001,-1
558.583488,0.0675,-0.98
93.097652,0.0001,-1
415.652023,0.6987,0.13
31.822545,0.6084,-0.05
61.327644,0.8839,0.61
418.524855,0.7707,0.3
269.222044,0.9979,0.98
461.103961,0.0279,-0.98
6.876438,0.9997,0.97
521.965819,0.9591,0.82
428.109339,0.3756,-0.49
387.203317,0.6754,0.09
407.553304,0.587,-0.15
330.316282,0.5679,-0.12
17.226444,0.7988,0.31
312.333644,0.6437,0.03
